#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=365 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:41.99 aq:24.31 tex:10242 mv:9992 misc:6038 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:42.61 aq:29.39 tex:221 mv:64 misc:331 imb:2 pmb:11 smb:3587 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:42.61 aq:32.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:42.61 aq:34.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:42.61 aq:34.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:42.07 aq:28.87 tex:914 mv:201 misc:309 imb:18 pmb:27 smb:3555 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:42.34 aq:31.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:42.47 aq:33.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:42.20 aq:33.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:41.43 aq:28.38 tex:1188 mv:192 misc:332 imb:13 pmb:28 smb:3559 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:41.75 aq:31.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:41.91 aq:33.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:41.59 aq:33.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:40.76 aq:27.73 tex:1149 mv:242 misc:465 imb:14 pmb:44 smb:3542 d:- ref:0 w:6,65,-1 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:41.09 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:41.26 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:40.92 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:40.07 aq:26.34 tex:1920 mv:429 misc:715 imb:38 pmb:63 smb:3499 d:- ref:0 w:6,65,-1 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:40.41 aq:29.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:40.59 aq:31.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:40.24 aq:31.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:39.30 aq:25.46 tex:1886 mv:306 misc:480 imb:22 pmb:43 smb:3535 d:- ref:0 w:6,65,-1 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:39.69 aq:29.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:39.88 aq:31.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:39.49 aq:30.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:32.64 aq:15.31 tex:22981 mv:13791 misc:3644 imb:962 pmb:1039 smb:1599 d:- ref:0 w:6,65,-1 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:35.97 aq:24.57 tex:15 mv:5 misc:244 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:37.63 aq:29.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:34.30 aq:25.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:27.46 aq:10.12 tex:102494 mv:15145 misc:2009 imb:982 pmb:2236 smb:382 d:- ref:0 w:6,65,-1 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:30.05 aq:19.02 tex:450 mv:223 misc:959 imb:0 pmb:124 smb:3476 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:31.34 aq:22.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:28.75 aq:20.00 tex:26 mv:8 misc:246 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:24.37 aq:7.03 tex:178902 mv:7194 misc:1592 imb:241 pmb:3125 smb:234 d:- ref:0 w:6,65,-1 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:25.92 aq:19.17 tex:147 mv:152 misc:629 imb:0 pmb:61 smb:3539 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:26.69 aq:18.00 tex:78 mv:64 misc:378 imb:0 pmb:21 smb:3579 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:25.14 aq:16.00 tex:34 mv:70 misc:400 imb:0 pmb:24 smb:3576 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:22.35 aq:4.90 tex:216871 mv:3935 misc:2034 imb:58 pmb:3148 smb:394 d:- ref:0 w:6,65,-1 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:23.36 aq:12.00 tex:576 mv:287 misc:1337 imb:0 pmb:210 smb:3390 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:23.87 aq:15.00 tex:6 mv:18 misc:264 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:22.85 aq:14.00 tex:1 mv:6 misc:241 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:21.09 aq:3.66 tex:230186 mv:1949 misc:2553 imb:24 pmb:2926 smb:650 d:- ref:0 w:6,65,-1 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:21.72 aq:11.39 tex:318 mv:143 misc:755 imb:0 pmb:87 smb:3513 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:22.03 aq:12.66 tex:84 mv:67 misc:377 imb:0 pmb:20 smb:3580 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:21.40 aq:12.04 tex:69 mv:13 misc:262 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:20.04 aq:2.58 tex:180349 mv:1407 misc:3092 imb:17 pmb:2709 smb:874 d:- ref:0 w:6,65,-1 ;
